SHA1,Subject,Issuer,Not Before,Not after
3b7bb519f47de8869e7c64ea2aa2ba716a962ade," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU"," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU",2020-06-08T17:51:56Z, 2024-06-08T17:51:56Z
89fe429e140e89f64308755f4f28435a20c60f0b," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU"," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU",2020-06-07T18:54:19Z,2024-06-07T18:54:19Z
f3772f133fdd1864681863271f1169c2c8731fa6," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU"," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU",2010-10-10T03:03:03Z,2021-10-10T03:03:03Z
122cfc3181ead010b62bc2870bcb0666acc93fd6," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU"," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU",2019-08-11T12:43:12Z,2023-02-04T12:23:32Z
33e19142206a4c790d32ce6e62955458d3dcf366," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU"," CN=rvgvtfdf, OU=rst, O=tg4r6tds, L=gf23et65adt, ST=f2tee4, C=AU",2018-09-12T12:23:06Z,2029-09-12T12:12:32Z
